name,member,plate,weld,bolt_group,a
FEP202,SWC 610UB125 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP203,SWC 610UB113 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP204,SWC 610UB101 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP205,SWC 530UB92.4 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP206,SWC 530UB82.0 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px140g) 35 M20 8.8/S (TI),100
FEP207,SWC 460UB82.1 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px90g) 35 M20 8.8/S (TI),100
FEP208,SWC 460UB74.6 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px90g) 35 M20 8.8/S (TI),100
FEP209,SWC 460UB67.1 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,5x2 (70px90g) 35 M20 8.8/S (TI),100
FEP210,SWC 530UB92.4 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px140g) 35 M20 8.8/S (TI),100
FEP211,SWC 530UB82.0 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px140g) 35 M20 8.8/S (TI),100
FEP212,SWC 460UB82.1 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px90g) 35 M20 8.8/S (TI),100
FEP213,SWC 460UB74.6 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px90g) 35 M20 8.8/S (TI),100
FEP214,SWC 460UB67.1 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px90g) 35 M20 8.8/S (TI),100
FEP215,SWC 410UB59.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px90g) 35 M20 8.8/S (TI),100
FEP216,SWC 410UB53.7 (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px90g) 35 M20 8.8/S (TI),100
FEP217,SWC 380PFC (GR300),150mm 10mm Plate GR250,6mm CFW SP E48XX,4x2 (70px90g) 35 M20 8.8/S (TI),100
